rssi,snr,esp,Altitude,Latitude,Longitude,Pixel_X,Pixel_Y
-131,-8,-139.6389203,2.78424072265625,22.53962134,113.9344564,336,1040
-129,-7,-136.7900975,3.024688720703125,22.53962349,113.9344742,336,1042
-130,-7,-137.7900975,2.850860595703125,22.53962438,113.9344836,336,1043
-131,-8,-139.6389203,2.6822509765625,22.53962289,113.9345018,336,1045
-134,-11,-145.3319562,2.545623779296875,22.53962204,113.9345105,336,1046
-130,-8,-138.6389203,2.558807373046875,22.53961599,113.9344482,337,1039
-133,-10,-143.4139269,2.285919189453125,22.53961271,113.9345386,337,1049
-131,-8,-139.6389203,2.33074951171875,22.53959993,113.9344198,338,1036
-130,-7,-137.7900975,2.468170166015625,22.53960533,113.9344288,338,1037
-136,-13,-149.212384,2.42816162109375,22.53960378,113.9345545,338,1050
-130,-8,-138.6389203,2.429351806640625,22.53958989,113.9344054,339,1035
-137,-14,-151.1695429,2.494140625,22.53959719,113.934561,339,1051
-130,-8,-138.6389203,5.506439208984375,22.53958424,113.9342565,340,1020
-132,-9,-141.5149694,5.474822998046875,22.53958856,113.9342747,340,1021
-134,-11,-145.3319562,5.659698486328125,22.53958804,113.9342841,340,1022
-130,-7,-137.7900975,3.453887939453125,22.53958217,113.9343663,340,1031
-129,-6,-135.9732279,3.264190673828125,22.53958456,113.934377,340,1032
-131,-9,-140.5149694,2.673797607421875,22.53958824,113.9343967,340,1034
-131,-8,-139.6389203,2.855316162109375,22.53958231,113.934569,340,1052
-133,-11,-144.3319562,6.313507080078125,22.53957137,113.934225,341,1016
-133,-11,-144.3319562,5.678680419921875,22.53957974,113.9342462,341,1018
-132,-10,-142.4139269,4.1890869140625,22.53957823,113.9343368,341,1028
-132,-10,-142.4139269,3.817657470703125,22.53957836,113.9343473,341,1029
-133,-10,-143.4139269,2.90972900390625,22.539574,113.9345709,341,1052
-132,-9,-141.5149694,6.88494873046875,22.53956326,113.9341836,342,1012
-132,-9,-141.5149694,6.63189697265625,22.53956305,113.9341944,342,1013
-132,-10,-142.4139269,6.5198974609375,22.5395673,113.9342134,342,1015
-135,-12,-147.2657238,2.8441162109375,22.53956382,113.9345823,342,1053
-133,-11,-144.3319562,2.397125244140625,22.5395645,113.9345896,342,1054
-137,-14,-151.1695429,2.067840576171875,22.53956557,113.9346017,342,1055
-136,-13,-149.212384,1.456085205078125,22.53956374,113.9346084,342,1056
-136,-14,-150.1695429,7.93682861328125,22.53955638,113.934154,343,1009
-130,-8,-138.6389203,7.55108642578125,22.53955936,113.9341631,343,1010
-133,-10,-143.4139269,1.252838134765625,22.53955609,113.9346221,343,1057
-135,-13,-148.212384,9.05792236328125,22.53954493,113.9340979,344,1003
-132,-10,-142.4139269,9.00274658203125,22.53954776,113.9341061,344,1004
-135,-12,-147.2657238,8.682403564453125,22.53954898,113.9341249,344,1006
-134,-12,-146.2657238,8.67633056640625,22.53955078,113.9341337,344,1007
-134,-11,-145.3319562,1.143890380859375,22.539552,113.9346291,344,1058
-133,-11,-144.3319562,1.138092041015625,22.53954483,113.9346435,344,1059
-133,-10,-143.4139269,9.4244384765625,22.53953846,113.934077,345,1001
-134,-12,-146.2657238,1.396148681640625,22.53953863,113.9346514,345,1060
-134,-11,-145.3319562,10.1021728515625,22.53952725,113.9340371,346,997
-132,-10,-142.4139269,9.59881591796875,22.53952906,113.9340456,346,998
-132,-9,-141.5149694,1.59698486328125,22.53952928,113.9346675,346,1062
-136,-13,-149.212384,12.63739013671875,22.53951733,113.9339239,347,985
-131,-8,-139.6389203,10.401123046875,22.53951813,113.9339885,347,992
-132,-9,-141.5149694,10.078216552734377,22.53952189,113.9340064,347,994
-135,-12,-147.2657238,10.39044189453125,22.53952526,113.9340147,347,995
-132,-10,-142.4139269,13.23565673828125,22.5395131,113.9338635,348,979
-133,-11,-144.3319562,12.92608642578125,22.53951437,113.9338809,348,981
-133,-11,-144.3319562,13.4620361328125,22.53951384,113.9339125,348,984
-134,-12,-146.2657238,11.66754150390625,22.53951615,113.9339552,348,989
-133,-11,-144.3319562,10.584075927734377,22.53951615,113.9339807,348,991
-135,-12,-147.2657238,14.16143798828125,22.53950384,113.9338221,349,975
-134,-12,-146.2657238,13.943603515625,22.53950562,113.9338322,349,976
-134,-11,-145.3319562,13.752197265625,22.53950785,113.9338515,349,978
-133,-10,-143.4139269,13.05059814453125,22.53950695,113.9338936,349,982
-131,-8,-139.6389203,2.04766845703125,22.53950622,113.9346928,349,1064
-135,-12,-147.2657238,14.4625244140625,22.53949039,113.9337969,350,972
-133,-10,-143.4139269,14.3426513671875,22.53949638,113.9338054,350,973
-133,-11,-144.3319562,2.898956298828125,22.53948402,113.9347098,351,1066
-134,-12,-146.2657238,14.457763671875,22.53947474,113.933769,352,969
-136,-13,-149.212384,14.41253662109375,22.53947873,113.9337787,352,970
-137,-14,-151.1695429,3.594757080078125,22.53947658,113.9347268,352,1068
-109,7,-141.5149694,3.648773193359375,22.52884675,113.9341048,352,1069
-132,-9,-141.5149694,3.648773193359375,22.53947507,113.9347384,352,1069
-133,-11,-144.3319562,14.20587158203125,22.53946848,113.9337499,353,967
-138,-13,-151.212384,4.725311279296875,22.53946681,113.9347628,353,1072
-132,-10,-142.4139269,14.103271484375,22.53946296,113.933741,354,967
-135,-12,-147.2657238,5.258575439453125,22.53945658,113.9347756,354,1073
-135,-12,-147.2657238,5.645660400390625,22.53944995,113.9347811,355,1073
-135,-12,-147.2657238,14.5535888671875,22.53942997,113.9336881,357,961
-135,-13,-148.212384,14.6973876953125,22.53943633,113.9336955,357,962
-134,-11,-145.3319562,6.121795654296875,22.53943515,113.9347926,357,1075
-134,-12,-146.2657238,6.394439697265625,22.53942714,113.9347975,358,1075
-132,-10,-142.4139269,14.9539794921875,22.53941719,113.9336747,359,960
-135,-12,-147.2657238,6.565155029296875,22.53941221,113.9348093,359,1076
-132,-9,-141.5149694,6.31634521484375,22.53940444,113.9348163,360,1077
-131,-9,-140.5149694,15.6900634765625,22.53939311,113.9336535,361,958
