Pixel_X,Pixel_Y,esp,Altitude,Distance,Latitude,Longitude
336,1040,-117.76434862436486,2.78424072265625,341.7089404741995,22.53962134,113.9344564
336,1042,-116.1244260279434,3.024688720703125,343.3846240005513,22.53962349,113.9344742
336,1043,-115.1244260279434,2.850860595703125,344.223764432382,22.53962438,113.9344836
336,1045,-122.97322793708696,2.6822509765625,345.9046111285596,22.53962289,113.9345018
336,1046,-126.79009749652566,2.545623779296875,346.7463049550781,22.53962204,113.9345105
337,1039,-115.76434862436486,2.558807373046875,340.3248448174185,22.53961599,113.9344482
337,1049,-119.19331048066094,2.285919189453125,348.742024998422,22.53961271,113.9345386
338,1036,-111.0102999566398,2.33074951171875,337.26695657890946,22.53959993,113.9344198
338,1037,-118.97322793708696,2.468170166015625,338.10353443878694,22.53960533,113.9344288
338,1050,-115.1244260279434,2.42816162109375,349.0573018860944,22.53960378,113.9345545
339,1035,-117.1244260279434,2.429351806640625,335.882419903156,22.53958989,113.9344054
339,1051,-107.53901891043868,2.494140625,349.3780187705002,22.53959719,113.934561
340,1020,-111.1244260279434,5.506439208984375,322.86994285625286,22.53958424,113.9342565
340,1021,-110.53901891043868,5.474822998046875,323.6943002278539,22.53958856,113.9342747
340,1022,-108.1244260279434,5.659698486328125,324.5196450139806,22.53958804,113.9342841
340,1031,-120.19331048066094,3.453887939453125,331.9909637324486,22.53958217,113.9343663
340,1032,-112.0102999566398,3.264190673828125,332.8257802514703,22.53958456,113.934377
340,1034,-114.53901891043868,2.673797607421875,334.4981315343929,22.53958824,113.9343967
340,1052,-115.1244260279434,2.855316162109375,349.7041606844277,22.53958231,113.934569
341,1016,-113.53901891043868,6.313507080078125,319.0109715981568,22.53957137,113.934225
341,1018,-112.53901891043868,5.678680419921875,320.6555784638714,22.53957974,113.9342462
341,1028,-119.19331048066094,4.1890869140625,328.93768406797057,22.53957823,113.9343368
341,1029,-107.53901891043868,3.817657470703125,329.7711327572503,22.53957836,113.9343473
341,1052,-113.53901891043868,2.90972900390625,349.18190102008435,22.539574,113.9345709
342,1012,-109.53901891043868,6.88494873046875,315.15869018638847,22.53956326,113.9341836
342,1013,-114.1244260279434,6.63189697265625,315.97784732477686,22.53956305,113.9341944
342,1015,-110.53901891043868,6.5198974609375,317.619268936883,22.5395673,113.9342134
342,1053,-108.53901891043868,2.8441162109375,349.516809323958,22.53956382,113.9345823
342,1054,-117.1244260279434,2.397125244140625,350.3726587506508,22.5395645,113.9345896
342,1055,-113.76434862436486,2.067840576171875,351.2292698509052,22.53956557,113.9346017
342,1056,-122.97322793708696,1.456085205078125,352.08663706536777,22.53956374,113.9346084
343,1009,-107.53901891043868,7.93682861328125,312.1297807002722,22.53955638,113.934154
343,1010,-116.1244260279434,7.55108642578125,312.9472799050984,22.53955936,113.9341631
343,1057,-119.76434862436486,1.252838134765625,352.432972350772,22.53955609,113.9346221
344,1003,-115.1244260279434,9.05792236328125,306.6626811335217,22.53954493,113.9340979
344,1004,-113.0102999566398,9.00274658203125,307.4752022521492,22.53954776,113.9341061
344,1006,-108.1244260279434,8.682403564453125,309.1035425225664,22.53954898,113.9341249
344,1007,-106.1244260279434,8.67633056640625,309.9193443462347,22.53955078,113.9341337
